start_token,end_token,supersense_category,text
1,2,noun.group,BUSSEL MIDDLEBROOK
3,3,noun.communication,SERIES
5,5,noun.communication,BOOK
27,27,noun.event,events
29,29,noun.cognition,characters
32,32,noun.communication,book
33,33,verb.stative,are
38,38,noun.attribute,similarity
40,40,noun.event,events
42,42,noun.group,people
44,44,verb.stative,living
48,48,verb.stative,is
53,53,noun.relation,part
56,56,noun.communication,book
59,59,verb.consumption,used
61,61,verb.creation,reproduced
64,64,noun.cognition,matter
67,67,noun.communication,permission
71,71,noun.state,case
74,74,noun.communication,quotations
75,75,verb.stative,embodied
78,78,noun.communication,articles
80,80,noun.communication,reviews
83,83,noun.communication,information
86,86,verb.communication,contact
88,90,noun.group,Buddha Kitty Books
93,93,noun.act,design
95,96,noun.person,April Martinez
103,106,noun.group,Laura South - Oryshchyn
110,110,noun.person,member
113,113,noun.group,Order
116,118,noun.group,Poison Oak And
120,121,noun.person,Michael Jensen
126,126,verb.possession,grant
133,133,noun.communication,CHAPTER
137,137,verb.competition,surrounded
139,139,noun.phenomenon,fires
142,142,noun.event,blazes
143,143,verb.stative,raging
149,149,noun.process,flames
150,150,verb.perception,hissed
152,152,verb.perception,crackled
156,156,noun.attribute,heat
157,157,verb.change,searing
160,160,noun.body,skin
164,164,verb.emotion,wanted
166,166,verb.motion,run
172,172,noun.act,escape
176,176,verb.contact,trapped
179,179,noun.phenomenon,heat
182,182,noun.act,step
185,185,verb.social,take
188,188,noun.cognition,direction
191,191,verb.motion,turn
194,194,noun.process,flames
196,197,verb.weather,flare up
199,199,verb.contact,engulf
204,205,noun.artifact,school bell
206,206,verb.perception,rang
210,210,noun.person,students
213,213,verb.change,began
214,215,verb.motion,bustling off
217,217,noun.group,class
221,221,verb.contact,standing
224,224,noun.artifact,hallway
226,230,noun.location,Robert L. Goodkind High School
233,233,noun.time,moments
237,237,noun.group,class
241,241,verb.stative,surrounded
243,243,noun.attribute,flames
250,250,noun.cognition,kind
253,253,verb.cognition,think
258,258,noun.phenomenon,fires
260,260,verb.emotion,threatened
262,262,verb.stative,were
264,264,noun.attribute,flames
266,266,noun.feeling,hatred
268,268,noun.feeling,suspicion
270,270,verb.perception,flickered
273,273,noun.body,eyes
276,276,noun.person,classmates
281,282,verb.emotion,feel like
284,284,noun.artifact,hallway
287,288,noun.artifact,high school
289,289,verb.stative,was
292,292,noun.artifact,corridor
294,294,noun.process,fire
299,299,noun.attribute,looks
302,302,noun.body,eyes
306,306,noun.person,students
307,307,verb.stative,were
309,309,noun.process,flames
313,313,noun.process,inferno
322,322,verb.stative,is
326,326,noun.communication,answer
329,329,noun.communication,question
334,334,noun.time,year
337,337,noun.person,friends
341,341,verb.creation,started
343,345,noun.group,Goodkind High Gay
347,347,noun.group,Straight
349,350,noun.group,Bisexual Alliance
356,356,noun.group,school
357,357,verb.cognition,knew
359,359,verb.stative,was
368,368,verb.stative,being
372,372,noun.artifact,school
373,373,verb.stative,being
379,379,verb.cognition,know
384,384,noun.person,Td
385,386,verb.change,come out
389,390,noun.group,high school
393,394,verb.emotion,felt like
398,398,noun.location,place
402,402,verb.possession,had
405,405,noun.artifact,locker
408,410,noun.communication,E - mails
412,412,verb.cognition,prove
422,423,noun.person,Nate Klane
424,424,verb.communication,mumbled
427,427,verb.motion,ambled
432,432,noun.artifact,hallway
437,437,verb.stative,was
440,440,noun.cognition,kind
442,442,noun.cognition,thing
443,443,noun.communication,Tm
444,445,verb.communication,talking about
449,450,verb.social,put up
453,453,noun.cognition,kind
455,455,noun.cognition,crap
460,461,verb.change,gone public
466,466,noun.group,Straight
468,469,noun.group,Bisexual Alliance
475,475,verb.change,getting
485,485,noun.person,sticks
489,489,verb.change,break
491,491,noun.body,bones
494,494,noun.communication,words
497,497,verb.emotion,hurt
506,506,verb.cognition,thinks
508,508,noun.communication,words
511,511,verb.body,hurt
516,517,verb.cognition,taken sophomore
525,525,verb.cognition,occur
528,528,verb.communication,wrote
531,531,noun.communication,adage
534,534,noun.communication,words
536,536,verb.stative,be
540,540,noun.communication,indication
542,542,noun.object,sticks
544,544,noun.object,stones
560,560,noun.state,thing
562,562,noun.communication,Words
564,564,noun.substance,sticks
568,568,verb.social,go
578,578,verb.communication,say
579,579,verb.stative,is
582,582,noun.person,writer
585,585,noun.communication,adage
586,586,verb.perception,sounds
591,591,verb.change,getting
593,593,noun.body,bones
594,594,verb.contact,broken
598,598,verb.communication,face
601,601,verb.stative,being
605,606,noun.time,age sixteen
610,610,verb.stative,sucks
617,617,verb.communication,saying
626,627,verb.change,come out
633,633,verb.stative,being
638,638,noun.time,age
640,640,verb.stative,is
642,642,noun.act,carnival
645,645,noun.artifact,cafeteria
651,652,noun.person,BRENT HARTINGER
654,654,verb.stative,is
657,657,noun.communication,chapter
660,660,noun.communication,book
665,665,verb.stative,be
674,674,verb.emotion,want
676,676,verb.cognition,read
683,683,verb.communication,pointing
685,685,verb.emotion,hate
686,686,noun.communication,books
695,695,verb.communication,say
699,699,noun.communication,thing
702,702,verb.cognition,thinking
705,705,noun.time,time
707,708,noun.time,Summer vacation
709,709,verb.stative,was
712,712,noun.time,weeks
716,716,noun.time,morning
720,720,noun.event,break
722,722,noun.act,classes
725,725,verb.motion,met
727,727,noun.person,friend
728,728,noun.person,Gunnar
731,731,noun.artifact,locker
735,735,verb.contact,sniffing
737,737,noun.location,air
744,744,verb.communication,said
749,749,verb.perception,smell
754,754,verb.communication,said
757,757,verb.consumption,took
759,759,noun.communication,whiff
762,763,noun.person,Jerry Mason
765,766,noun.artifact,gym socks
778,778,verb.cognition,think
780,780,verb.perception,smell
784,784,verb.communication,asked
790,790,verb.stative,was
793,793,verb.communication,ask
796,796,verb.stative,was
803,803,noun.artifact,mold
806,806,noun.person,Gunnar
807,807,verb.communication,said
811,811,verb.cognition,think
814,814,noun.group,school
815,815,verb.possession,has
819,819,verb.social,Let
821,822,verb.communication,cut to
827,827,noun.person,friend
828,828,noun.person,Gunnar
829,829,verb.stative,was
833,833,noun.communication,word
838,838,noun.communication,fact
841,841,verb.stative,was
843,843,noun.person,hypochondriac
844,844,verb.stative,was
849,849,noun.feeling,quirks
853,853,verb.stative,was
865,865,noun.person,guy
870,870,verb.stative,was
877,877,verb.social,joined
879,880,noun.group,Goodkind Gay
882,885,noun.group,Straight - Bisexual Alliance
888,888,noun.attribute,loyalty
895,895,verb.cognition,hear
898,898,noun.communication,curse
900,901,noun.person,King Tut
903,903,noun.artifact,tomb
906,906,noun.person,Gunnar
907,907,verb.communication,said
911,911,verb.motion,shook
913,913,noun.body,head
921,921,noun.time,years
924,924,verb.contact,opened
926,926,noun.artifact,tomb
932,932,noun.act,expedition
933,933,verb.change,died
935,935,noun.group,People
936,936,verb.communication,said
938,938,verb.stative,was
940,940,noun.person,Mummy
947,948,noun.person,POISON OAK
949,949,noun.communication,curse
954,954,noun.group,people
955,955,verb.cognition,think
959,959,noun.communication,reason
961,961,verb.change,died
962,962,verb.stative,was
966,966,verb.perception,exposed
968,968,noun.person,Aspergillusflavus
971,971,verb.contact,opened
973,973,noun.artifact,tomb
980,980,verb.emotion,liked
981,981,noun.person,Gunnar
984,984,verb.stative,was
989,989,noun.artifact,mold
995,995,noun.animal,mummy
996,996,noun.artifact,connection
997,997,verb.stative,was
1004,1004,verb.cognition,decided
1006,1006,verb.change,change
1008,1008,noun.cognition,subject
1014,1014,noun.time,summer
1018,1018,verb.communication,said
1022,1022,verb.cognition,know
1026,1026,noun.person,Gunnar
1027,1027,verb.communication,said
1030,1030,verb.stative,was
1033,1033,noun.event,rumble
1036,1036,noun.communication,voice
1038,1038,verb.emotion,surprised
1049,1049,noun.person,Gunnar
1051,1051,verb.social,joined
1067,1067,noun.location,end
1072,1072,noun.communication,crap
1082,1082,verb.stative,was
1092,1092,noun.object,world
1094,1094,noun.person,Gunnar
1095,1095,verb.emotion,wanted
1097,1097,noun.person,girlfriend
1102,1102,verb.social,trying
1104,1104,verb.possession,get
1106,1108,noun.act,f ° r
1109,1109,noun.time,years
1115,1116,verb.change,worked out
1119,1119,verb.communication,Being
1121,1121,verb.stative,is
1128,1129,verb.contact,looking for
1131,1131,noun.person,girlfriend
1134,1134,verb.stative,being
1138,1138,verb.stative,are
1149,1149,noun.communication,thanks
1152,1153,noun.person,Goodkind Gay
1157,1158,noun.group,Bisexual Alliance
1162,1162,verb.cognition,thought
1164,1164,verb.stative,was
1169,1169,verb.social,tried
1171,1171,verb.communication,tell
1172,1172,noun.group,people
1175,1175,verb.stative,was
1185,1186,noun.group,A7ra^/-Bisexual Alliance
1188,1188,verb.cognition,remember
1195,1195,verb.cognition,believed
1202,1202,noun.cognition,thing
1206,1206,verb.emotion,wanted
1209,1209,noun.person,girlfriend
1211,1211,verb.stative,was
1214,1214,noun.state,thing
1218,1218,verb.possession,have
1225,1225,verb.stative,was
1227,1227,noun.person,student
1229,1231,noun.group,Goodkind High School
1240,1240,verb.communication,said
1246,1246,noun.object,stream
1247,1247,noun.process,cleanup
1250,1250,noun.time,weekend
1252,1252,noun.time,June
1255,1255,verb.emotion,want
1257,1258,verb.communication,sign up
1262,1262,noun.time,summer
1267,1267,verb.consumption,volunteered
1270,1270,noun.object,stream
1271,1271,noun.process,cleanup
1274,1274,verb.social,met
1278,1278,noun.person,girls
1281,1281,verb.communication,talked
1284,1284,noun.time,afternoon
1289,1290,noun.person,BRENT HARTINGER
1291,1291,verb.possession,had
1293,1293,noun.attribute,interest
1304,1304,verb.motion,led
1309,1309,noun.person,Gunnar
1315,1315,verb.stative,be
1317,1317,noun.person,girls
1319,1319,noun.time,year
1322,1322,verb.cognition,figured
1323,1323,verb.social,helping
1324,1324,noun.person,Gunnar
1325,1325,verb.possession,find
1327,1327,noun.person,girlfriend
1328,1328,verb.stative,was
1333,1333,verb.social,do
1341,1341,verb.social,joined
1343,1343,noun.group,Gay
1345,1345,noun.group,Straight
1347,1348,noun.group,Bisexual Alliance
1354,1354,noun.feeling,surprise
1356,1356,noun.person,Gunnar
1357,1357,verb.motion,shook
1359,1359,noun.body,head
1361,1361,verb.communication,said
1370,1370,verb.cognition,forgotten
1373,1373,verb.change,happened
1376,1376,noun.artifact,stream
1377,1377,noun.act,cleanup
1380,1380,verb.cognition,Remember
1382,1382,noun.time,year
1386,1386,verb.communication,said
1390,1390,verb.social,met
1392,1392,noun.person,girls
1396,1396,verb.communication,nodded
1400,1400,verb.cognition,remember
1407,1408,verb.motion,go to
1410,1410,noun.artifact,school
1418,1418,noun.person,girls
1422,1423,verb.motion,go to
1425,1425,noun.artifact,school
1430,1430,noun.communication,words
1435,1435,verb.cognition,think
1436,1436,noun.person,Gunnar
1437,1437,verb.stative,was
1448,1448,verb.communication,said
1460,1460,noun.artifact,stream
1461,1461,noun.act,cleanups
1466,1466,noun.person,girls
1470,1470,verb.possession,took
1472,1472,noun.time,moment
1474,1474,verb.cognition,compute
1476,1476,noun.person,Gunnar
1480,1480,noun.person,girls
1483,1483,verb.stative,made
1488,1488,verb.stative,was
