COREF,start_token,end_token,prop,cat,text
276,20,21,PROP,PER,Judy Blume
277,23,24,PROP,PER,Dorothy Parker
278,33,33,PROP,PER,McCafferty
698,47,47,NOM,PER,People
278,52,52,PROP,PER,McCafferty
278,65,65,PRON,PER,her
3567,69,69,NOM,PER,fans
3568,72,72,NOM,PER,teens
3569,74,75,NOM,PER,college students
3570,79,79,NOM,PER,mothers
3571,82,84,NOM,PER,the occasional grandmother
1,88,91,PROP,FAC,The Star - Ledger
3572,102,109,NOM,PER,anyone between the ages of 15 - 99
278,116,116,PROP,PER,McCafferty
3573,127,127,NOM,PER,teenagers
3574,129,129,NOM,PER,adults
3574,132,132,PRON,PER,their
3575,158,159,NOM,PER,all readers
279,161,161,PROP,PER,Jessica
279,167,167,PRON,PER,her
278,173,173,PROP,PER,McCafferty
278,179,179,PRON,PER,her
3576,190,190,PRON,PER,you
3576,194,194,PRON,PER,yourself
279,196,197,PROP,PER,Jessica Darling
3576,199,199,PRON,PER,you
3576,217,217,PRON,PER,you
2,228,228,PROP,GPE,Toronto
279,233,233,PROP,PER,Jessica
279,235,235,PRON,PER,her
279,241,241,PRON,PER,her
3577,250,250,NOM,PER,readers
3578,252,255,NOM,PER,fans of the series
3579,257,258,NOM,PER,adult women
3568,262,262,NOM,PER,teens
278,265,265,PROP,PER,McCafferty
279,273,273,PRON,PER,her
279,277,277,PROP,PER,Jessica
3581,287,299,NOM,PER,the adolescent ah oi rt - to - be - a - woman
3,303,303,PROP,GPE,Chicago
3582,328,329,NOM,PER,eager teens
3568,332,332,NOM,PER,teens
3584,358,361,NOM,PER,a few adult readers
3585,401,405,NOM,PER,the young - adult crowd
3586,407,417,NOM,PER,women who like to look back and remember . ” —
4,418,419,PROP,GPE,New York
280,428,429,PROP,PER,Megan McCafferty
280,438,438,PRON,PER,I
280,451,451,PRON,PER,my
280,455,455,PRON,PER,I
279,475,476,PROP,PER,Jessica Darling
279,490,490,PROP,PER,Jessica
3587,492,505,NOM,PER,"a likable and wry observer of the competitive , gossipy high - school world"
280,512,513,PROP,PER,MEGAN McCAFFERTY
5,514,538,PROP,FAC,Sloppy Firsts Second Helpings Fourth Comings Perfect Fifths Bumped Thumped The Mall CHARMED THIRDS A Jessica Darling Novel MEGAN McCafferty w WEDNESDAY BOOKS NEW YORK
280,532,533,PROP,PER,MEGAN McCafferty
699,573,575,NOM,GPE,the United States
6,583,584,PROP,FAC,St. Martin
7,583,587,PROP,FAC,St. Martin ’s Publishing Group
280,595,596,PROP,PER,Megan McCafferty
281,603,604,PROP,PER,Rebecca Serie
700,612,616,NOM,LOC,the United States of America
8,616,616,PROP,GPE,America
7,622,626,PROP,FAC,St. Martin ’s Publishing Group
9,623,623,PROP,GPE,Martin
10,629,629,PROP,GPE,Broadway
4,631,632,PROP,GPE,New York
11,640,644,PROP,FAC,Devan Norman Library of Congress
280,653,653,PROP,PER,McCafferty
280,655,655,PROP,PER,Megan
701,657,657,NOM,PER,author
279,665,666,PROP,PER,Jessica Darling
280,669,670,PROP,PER,Megan McCafferty
4,680,681,PROP,GPE,New York
279,691,692,PROP,PER,Jessica Darling
702,766,766,PRON,PER,Our
703,784,784,PRON,PER,your
704,784,786,NOM,FAC,your local bookseller
705,788,794,NOM,ORG,the Macmillan Corporate and Premium Sales Department
12,816,818,PROP,GPE,the United States
706,826,832,NOM,ORG,an imprint of the Crown Publishing Group
707,829,832,NOM,ORG,the Crown Publishing Group
708,834,840,NOM,ORG,"a division of Random House , Inc."
709,837,840,NOM,ORG,"Random House , Inc."
4,842,843,PROP,GPE,New York
0,866,866,PRON,PER,MY
0,874,874,PRON,PER,I
0,881,881,PRON,PER,I
279,898,899,PROP,PER,Jessica Darling
710,901,911,NOM,PER,"a precocious , sexually curious , fast - talking teenage girl"
711,920,920,NOM,FAC,Schools
712,921,922,NOM,GPE,the country
713,943,943,NOM,GPE,country
714,947,953,NOM,GPE,A place that had felt so safe
8,955,955,PROP,GPE,America
715,957,957,NOM,FAC,home
3568,971,971,NOM,PER,teens
3568,973,973,PRON,PER,their
713,977,977,NOM,GPE,country
718,982,982,PRON,PER,we
3568,995,995,NOM,PER,Teens
3568,1005,1005,PRON,PER,they
3568,1016,1016,PRON,PER,them
720,1019,1019,PRON,PER,you
720,1023,1023,PRON,PER,you
279,1033,1033,PROP,PER,Jessica
718,1036,1036,PRON,PER,we
0,1038,1038,PRON,PER,I
282,1042,1043,PROP,PER,Ms. Darling
0,1044,1044,PRON,PER,my
0,1053,1053,PRON,PER,me
0,1055,1055,PRON,PER,I
279,1060,1060,PROP,PER,Jessica
721,1064,1071,NOM,PER,This overly average girl who was anything but
718,1074,1074,PRON,PER,our
722,1074,1075,NOM,PER,our queen
276,1076,1077,PROP,PER,Judy Blume
280,1079,1080,PROP,PER,Megan McCafferty
723,1082,1091,NOM,PER,a young woman who is unafraid of her own sexuality
723,1089,1089,PRON,PER,her
723,1120,1120,PRON,PER,her
279,1125,1125,PRON,PER,She
724,1130,1133,NOM,PER,a high school girl
283,1150,1151,PROP,PER,Marcus Flutie
279,1153,1153,PROP,PER,Jessica
283,1155,1155,PROP,PER,Marcus
283,1157,1157,PROP,PER,Marcus
279,1159,1159,PROP,PER,Jessica
725,1161,1168,NOM,PER,The most perfect teenage boyfriend of all time
0,1175,1175,PRON,PER,I
0,1178,1178,PRON,PER,I
726,1186,1193,NOM,PER,The stoner kid who needs Jessica ’s pee
279,1191,1191,PROP,PER,Jessica
279,1203,1203,PRON,PER,her
727,1203,1205,NOM,PER,her greatest teacher
279,1207,1207,PRON,PER,her
728,1216,1216,PRON,PER,we
728,1235,1235,PRON,PER,we
728,1246,1246,PRON,PER,We
279,1253,1253,PROP,PER,Jessica
283,1273,1273,PROP,PER,Marcus
279,1275,1275,PROP,PER,Jessica
729,1289,1289,PRON,PER,they
729,1298,1298,PRON,PER,they
729,1308,1308,PRON,PER,they
279,1318,1319,PROP,PER,Jessica Darling
3574,1324,1324,NOM,PER,adults
728,1328,1328,PRON,PER,us
728,1339,1339,PRON,PER,We
731,1358,1368,PROP,PER,"Sloppy Firsts , Second Helpings , Charmed Thirds , Fourth Comings"
728,1374,1374,PRON,PER,we
279,1377,1378,PROP,PER,Jessica Darling
728,1386,1386,PRON,PER,We
732,1388,1389,NOM,LOC,the world
279,1392,1392,PRON,PER,her
279,1394,1394,PRON,PER,She
4,1397,1398,PROP,GPE,New York
733,1400,1406,NOM,GPE,a city on the brink of rehabilitation
279,1408,1408,PRON,PER,She
279,1419,1419,PRON,PER,She
279,1425,1425,PRON,PER,Her
279,1445,1446,PROP,PER,Jessica Darling
734,1455,1455,PRON,PER,Il
735,1468,1468,PRON,PER,you
736,1471,1472,NOM,PER,a character
737,1489,1490,NOM,PER,the reader
732,1497,1498,NOM,LOC,the world
728,1500,1500,PRON,PER,we
728,1505,1505,PRON,PER,ourselves
728,1508,1508,PRON,PER,we
279,1510,1510,PROP,PER,Jessica
279,1512,1512,PRON,PER,she
739,1514,1521,NOM,PER,a teenage girl uncomfortable in her own skin
279,1519,1519,PRON,PER,her
728,1524,1524,PRON,PER,we
279,1526,1526,PRON,PER,her
279,1528,1528,PRON,PER,she
740,1530,1537,NOM,PER,a young woman on the cusp of adulthood
279,1546,1546,PROP,PER,Jessica
279,1555,1555,PRON,PER,She
728,1566,1566,PRON,PER,we
279,1568,1568,PRON,PER,her
741,1586,1587,NOM,LOC,the universe
735,1636,1636,PRON,PER,your
279,1642,1643,PROP,PER,Jessica Darling
279,1649,1649,PRON,PER,her
279,1653,1653,PRON,PER,she
742,1660,1661,NOM,PER,A feminist
743,1663,1664,NOM,PER,a leader
744,1666,1667,NOM,PER,a daughter
745,1669,1671,NOM,PER,a best friend
728,1682,1682,PRON,PER,we
0,1695,1695,PRON,PER,I
279,1701,1701,PROP,PER,Jessica
280,1709,1709,PROP,PER,Megan
279,1717,1717,PRON,PER,you
279,1719,1719,PROP,PER,Jessica
746,1724,1725,NOM,PER,a friend
281,1737,1741,PROP,PER,Rebecca Serie START OF BOOK
747,1751,1751,NOM,PER,Whoever
735,1754,1754,PRON,PER,you
715,1758,1758,NOM,FAC,home
735,1763,1763,PRON,PER,You
715,1766,1766,NOM,FAC,home
0,1782,1782,PRON,PER,I
750,1785,1787,NOM,VEH,the express bus
13,1789,1789,PROP,GPE,Pineville
14,1791,1792,PROP,GPE,New Jersey
751,1794,1800,NOM,FAC,To fake - and - bake salons
752,1806,1809,NOM,VEH,Confederate - flagged pickups
753,1812,1823,NOM,PER,DWI guys with suspended licenses pedaling their fat asses on tiny bicycles
753,1818,1818,PRON,PER,their
754,1822,1823,NOM,VEH,tiny bicycles
284,1831,1831,PROP,PER,Pineys
755,1833,1833,NOM,PER,bennies
715,1843,1843,NOM,FAC,home
715,1846,1846,NOM,FAC,home
0,1848,1848,PRON,PER,I
0,1853,1853,PRON,PER,myself
15,1860,1861,PROP,FAC,42nd Street
0,1863,1863,PRON,PER,I
758,1865,1866,NOM,VEH,the subway
0,1875,1875,PRON,PER,I
0,1887,1887,PRON,PER,I
16,1889,1889,PROP,GPE,Columbia
759,1889,1891,NOM,FAC,Columbia ’s campus
760,1893,1897,NOM,FAC,the Port Authority bus terminal
0,1908,1908,PRON,PER,I
761,1913,1915,NOM,FAC,a waiting area
0,1930,1930,PRON,PER,I
0,1951,1951,PRON,PER,I
0,1960,1960,PRON,PER,I
285,1969,1970,PROP,PER,Jerry Springer
285,1975,1975,PRON,PER,themselves
0,1982,1982,PRON,PER,I
762,1991,1992,NOM,PER,the homeless
763,1998,2001,NOM,PER,the rest of us
764,2001,2001,PRON,PER,us
17,2009,2011,PROP,GPE,New York City
0,2014,2014,PRON,PER,me
283,2018,2018,PROP,PER,Marcus
0,2020,2020,PRON,PER,I
