start_token,end_token,supersense_category,text
17,18,noun.group,Miami Herald
20,21,noun.person,Judy Blume
22,22,verb.social,meets
23,24,noun.person,Dorothy Parker
29,31,noun.group,Wall Street Journal
33,33,noun.person,McCafferty
34,35,verb.cognition,looks at
37,37,noun.feeling,travails
39,39,noun.communication,humor
43,43,noun.cognition,heart
47,47,noun.group,People
52,52,noun.person,McCafferty
55,56,noun.communication,pop culture
57,57,noun.communication,riffs
62,62,noun.group,series
64,64,verb.possession,won
67,67,noun.group,legion
69,69,noun.person,fans
72,72,noun.person,teens
74,74,noun.group,college
75,75,noun.person,students
77,77,noun.person,twentysomethings
79,79,noun.person,mothers
84,84,noun.person,grandmother
100,100,noun.communication,read
105,105,noun.attribute,ages
113,114,noun.group,Ottawa Sun
118,119,noun.communication,debut novel
120,120,verb.stative,became
122,122,noun.act,crossover
123,123,noun.act,hit
126,126,verb.communication,touching
127,127,noun.person,teenagers
129,129,noun.person,adults
133,133,noun.time,youth
143,143,noun.cognition,take
144,144,verb.creation,on
145,145,noun.state,teendom
149,150,noun.group,Boston Herald
157,157,verb.emotion,delight
159,159,noun.person,readers
161,161,noun.person,Jessica
164,164,noun.communication,original
168,168,noun.state,problems
169,169,verb.stative,are
173,173,noun.person,McCafferty
174,174,verb.stative,is
178,178,verb.contact,channeling
187,187,noun.attribute,voice
193,193,verb.perception,see
202,202,verb.perception,looking
208,209,noun.location,Chicago Tribune
211,211,verb.creation,Portrays
213,213,noun.state,life
219,219,verb.cognition,forget
221,221,verb.contact,putting
228,229,noun.group,Toronto Sun
236,236,noun.communication,wit
244,244,noun.cognition,take
245,245,verb.creation,on
246,246,noun.cognition,life
249,249,verb.emotion,draws
250,250,noun.person,readers
252,252,noun.person,fans
255,255,noun.group,series
256,256,verb.stative,include
257,258,noun.person,adult women
262,262,noun.person,teens
265,265,noun.person,McCafferty
267,267,noun.communication,books
275,275,noun.attribute,good
277,277,noun.person,Jessica
278,278,verb.possession,offers
282,282,noun.communication,insights
285,285,noun.cognition,world
299,299,noun.person,woman
303,304,noun.location,Chicago Sun
310,310,noun.communication,writing
314,314,noun.communication,wordplay
321,321,verb.cognition,relate
324,324,noun.cognition,plot
325,325,noun.act,turns
327,327,verb.stative,keep
329,329,noun.person,teens
332,332,noun.group,teens
338,338,verb.motion,turning
340,340,noun.communication,pages
344,345,noun.group,Publishers Weekly
355,355,verb.contact,snag
361,361,noun.person,readers
369,369,noun.cognition,genre
376,376,noun.communication,literature
379,379,noun.time,life
382,382,noun.communication,voices
386,386,noun.cognition,characters
391,392,noun.group,Harvard Crimson
396,396,noun.group,series
398,398,verb.emotion,appeal
405,405,noun.group,crowd
407,407,noun.person,women
409,409,verb.emotion,like
411,412,verb.perception,look back
414,414,verb.cognition,remember
418,419,noun.location,New York
420,421,noun.group,Daily News
428,429,noun.person,Megan McCafferty
432,432,verb.creation,writing
433,433,noun.communication,books
435,436,noun.group,high school
439,439,verb.stative,was
453,453,noun.attribute,age
456,456,verb.possession,get
459,459,noun.act,kick
472,472,noun.attribute,color
473,473,noun.act,observations
475,475,noun.person,Jessica
480,481,noun.location,Miami Herald
490,490,noun.person,Jessica
491,491,verb.stative,is
496,496,noun.person,observer
502,502,noun.group,high
504,504,noun.group,school
505,505,noun.group,world
512,513,noun.person,MEGAN McCAFFERTY
514,536,noun.group,Sloppy Firsts Second Helpings Fourth Comings Perfect Fifths Bumped Thumped The Mall CHARMED THIRDS A Jessica Darling Novel MEGAN McCafferty w WEDNESDAY BOOKS
537,538,noun.location,NEW YORK
540,540,verb.stative,is
542,542,noun.artifact,work
544,544,noun.communication,fiction
549,549,noun.cognition,characters
551,551,noun.communication,organizations
554,554,noun.state,events
555,555,verb.perception,portrayed
558,558,noun.communication,novel
559,559,verb.stative,are
561,561,noun.artifact,products
565,565,noun.cognition,imagination
568,568,verb.consumption,used
571,571,verb.creation,Published
574,575,noun.location,United States
581,581,noun.communication,imprint
583,587,noun.group,St. Martin ’s Publishing Group
591,591,noun.communication,Copyright
595,596,noun.person,Megan McCafferty
599,599,noun.communication,copyright
603,604,noun.person,Rebecca Serie
613,614,noun.location,United States
616,616,noun.location,America
619,619,noun.communication,information
621,623,noun.location,address St. Martin
629,629,noun.location,Broadway
631,632,noun.location,New York
634,634,noun.location,NY
637,638,noun.location,www.wednesdaybooks.com Designed
640,644,noun.person,Devan Norman Library of Congress
655,655,noun.person,Megan
657,657,noun.person,author
659,659,noun.communication,Title
662,662,noun.quantity,thirds
667,667,noun.communication,novel
669,670,noun.person,Megan McCafferty
672,672,noun.communication,Description
677,677,noun.communication,edition
680,681,noun.location,New York
683,684,noun.location,Wednesday Books
689,689,noun.communication,Series
691,692,noun.person,Jessica Darling
696,696,noun.communication,Audience
698,698,noun.time,Ages
703,703,noun.communication,Identifiers
705,705,noun.person,LCCN
711,712,noun.artifact,trade paperback
719,719,noun.artifact,ebook
721,721,noun.communication,Subjects
727,727,noun.communication,Fiction
730,730,noun.group,Universities
732,732,noun.group,colleges
734,734,noun.communication,Fiction
740,740,noun.act,customs
743,743,noun.communication,Fiction
747,747,noun.cognition,programs
749,749,noun.communication,Fiction
762,762,noun.communication,record
767,767,noun.artifact,books
770,770,verb.possession,purchased
780,780,noun.act,use
783,783,verb.communication,contact
786,786,noun.person,bookseller
789,790,noun.group,Macmillan Corporate
792,794,noun.group,Premium Sales Department
804,804,noun.time,extension
809,809,noun.communication,email
814,814,verb.creation,published
817,818,noun.location,United States
822,824,noun.group,Three Rivers Press
827,827,noun.cognition,imprint
830,832,noun.group,Crown Publishing Group
835,835,noun.cognition,division
837,840,noun.group,"Random House , Inc."
842,843,noun.location,New York
845,848,noun.group,First Wednesday Books Edition
864,869,noun.group,FACES IN MY COLLEGE PHOTO ALBUMS
887,887,verb.communication,published
893,893,noun.time,month
911,911,noun.person,girl
913,913,verb.motion,spun
916,916,noun.object,world
918,918,noun.state,turmoil
920,920,noun.group,Schools
922,922,noun.location,country
924,924,verb.social,watched
926,926,noun.artifact,towers
927,927,verb.motion,fall
929,929,verb.cognition,understanding
939,939,noun.event,tragedy
941,941,noun.state,life
943,943,noun.location,country
944,944,verb.stative,were
948,948,noun.location,place
951,951,verb.body,felt
955,955,noun.location,America
957,957,noun.location,home
959,959,verb.change,changed
967,967,noun.time,years
971,971,noun.person,teens
972,972,verb.competition,face
975,975,noun.state,crisis
977,977,noun.location,country
979,979,noun.act,Progress
984,984,verb.cognition,seen
986,986,verb.motion,bends
989,989,verb.motion,doubles
992,992,verb.motion,barrels
995,995,noun.person,Teens
996,997,verb.social,take up
999,999,noun.act,fight
1006,1006,verb.stative,are
1009,1010,noun.location,front lines
1013,1013,noun.time,future
1014,1014,verb.stative,belongs
1031,1032,verb.communication,talk about
1040,1040,verb.motion,came
1042,1043,noun.person,Ms. Darling
1045,1046,noun.time,sophomore year
1048,1048,noun.group,college
1051,1051,noun.quantity,thousands
1060,1060,noun.person,Jessica
1062,1062,noun.attribute,voice
1067,1067,noun.person,girl
1069,1069,verb.stative,was
1076,1077,noun.person,Judy Blume
1079,1080,noun.person,Megan McCafferty
1081,1081,verb.communication,draws
1084,1084,noun.person,woman
1086,1086,verb.stative,is
1091,1091,noun.attribute,sexuality
1094,1094,verb.stative,is
1097,1097,verb.emotion,intrigued
1100,1100,verb.emotion,annoyed
1103,1103,noun.group,culture
1105,1106,noun.group,high school
1109,1109,verb.emotion,wants
1111,1111,verb.stative,be
1117,1117,verb.cognition,understands
1119,1119,verb.cognition,acknowledges
1123,1123,noun.state,existence
1126,1126,verb.stative,is
1131,1132,noun.group,high school
1133,1133,noun.person,girl
1141,1141,verb.stative,be
1146,1146,noun.person,FOREWORD
1150,1151,noun.person,Marcus Flutie
1153,1153,noun.person,Jessica
1155,1155,noun.person,Marcus
1157,1157,noun.person,Marcus
1159,1159,noun.person,Jessica
1165,1165,noun.person,boyfriend
1168,1168,noun.time,time
1173,1173,noun.person,fuckup
1176,1177,verb.emotion,feel like
1180,1180,verb.communication,allowed
1182,1182,verb.communication,swear
1188,1188,noun.person,kid
1191,1191,noun.person,Jessica
1193,1193,noun.act,pee
1200,1201,verb.change,ends up
1202,1202,verb.stative,being
1205,1205,noun.person,teacher
1209,1209,noun.feeling,love
1214,1214,noun.communication,books
1219,1219,verb.cognition,see
1232,1232,noun.feeling,love
1239,1239,verb.cognition,see
1241,1241,noun.cognition,anatomy
1244,1244,noun.state,relationship
1249,1249,verb.communication,question
1253,1253,noun.person,Jessica
