COREF,start_token,end_token,prop,cat,text
275,20,21,PROP,PER,Judy Blume
276,23,24,PROP,PER,Dorothy Parker
277,33,33,PROP,PER,McCafferty
646,47,47,NOM,PER,People
277,52,52,PROP,PER,McCafferty
277,65,65,PRON,PER,her
3026,69,69,NOM,PER,fans
3027,72,72,NOM,PER,teens
3028,74,75,NOM,PER,college students
3029,79,79,NOM,PER,mothers
3030,82,84,NOM,PER,the occasional grandmother
1,88,91,PROP,FAC,The Star - Ledger
3031,102,109,NOM,PER,anyone between the ages of 15 - 99
277,116,116,PROP,PER,McCafferty
3032,127,127,NOM,PER,teenagers
3033,129,129,NOM,PER,adults
3033,132,132,PRON,PER,their
3034,158,159,NOM,PER,all readers
278,161,161,PROP,PER,Jessica
278,167,167,PRON,PER,her
277,173,173,PROP,PER,McCafferty
277,179,179,PRON,PER,her
3035,190,190,PRON,PER,you
3035,194,194,PRON,PER,yourself
278,196,197,PROP,PER,Jessica Darling
3035,199,199,PRON,PER,you
3035,217,217,PRON,PER,you
2,228,229,PROP,FAC,Toronto Sun
278,233,233,PROP,PER,Jessica
278,235,235,PRON,PER,her
278,241,241,PRON,PER,her
3036,250,250,NOM,PER,readers
3037,252,255,NOM,PER,fans of the series
3038,257,258,NOM,PER,adult women
3027,262,262,NOM,PER,teens
277,265,265,PROP,PER,McCafferty
278,273,273,PRON,PER,her
278,277,277,PROP,PER,Jessica
3040,287,297,NOM,PER,the adolescent about - to - be - a - woman
3,301,304,PROP,FAC,Chicago Sun - Times
3041,326,327,NOM,PER,eager teens
3027,330,330,NOM,PER,teens
3043,356,359,NOM,PER,a few adult readers
3044,399,403,NOM,PER,the young - adult crowd
3045,405,412,NOM,PER,women who like to look back and remember
4,416,417,PROP,GPE,New York
279,424,424,PRON,PER,I
279,426,427,PROP,PER,Megan McCafferty
279,436,436,PRON,PER,I
279,449,449,PRON,PER,my
279,453,453,PRON,PER,I
278,473,474,PROP,PER,Jessica Darling
278,488,488,PROP,PER,Jessica
3046,490,503,NOM,PER,"a likable and wry observer of the competitive , gossipy high - school world"
279,510,511,PROP,PER,MEGAN MCCAFFERTY
647,512,528,NOM,FAC,Sloppy Firsts Second Helpings Charmed Thirds Perfect Fifths Bumped Thumped The Mall FOURTH COMINGS A Jessica Darling
279,530,531,PROP,PER,MEGAN McCafferty
648,561,562,NOM,PER,the author
649,572,574,NOM,GPE,the United States
650,579,586,NOM,ORG,an imprint of St. Martin ’s Publishing Group
5,582,583,PROP,ORG,St. Martin
279,594,595,PROP,PER,Megan McCafferty
6,611,615,PROP,GPE,the United States of America
7,621,625,PROP,FAC,St. Martin ’s Publishing Group
8,627,628,PROP,FAC,120 Broadway
4,630,631,PROP,GPE,New York
9,639,643,PROP,FAC,Devan Norman Library of Congress
279,652,652,PROP,PER,McCafferty
279,654,654,PROP,PER,Megan
651,656,656,NOM,PER,author
279,663,664,PROP,PER,Megan McCafferty
4,679,680,PROP,GPE,New York
652,685,692,NOM,ORG,an imprint of St. Martin 's Publishing Group
7,688,692,PROP,ORG,St. Martin 's Publishing Group
278,699,700,PROP,PER,Jessica Darling
11,710,712,PROP,GPE,the United States
12,714,716,PROP,FAC,Three Rivers Press
3047,718,724,NOM,ORG,an imprint of the Crown Publishing Group
3048,721,724,NOM,ORG,the Crown Publishing Group
3049,726,730,NOM,ORG,a division of Random House
13,729,730,PROP,ORG,Random House
4,734,735,PROP,GPE,New York
278,769,769,PROP,PER,Jessica
653,783,785,NOM,PER,Man - woman
14,807,807,PROP,GPE,Brooklyn
4,809,810,PROP,GPE,New York
14,836,836,PROP,GPE,Brooklyn
4,838,839,PROP,GPE,New York
654,859,859,PRON,PER,Our
