start_token,end_token,supersense_category,text
17,18,noun.group,Miami Herald
20,21,noun.person,Judy Blume
22,22,verb.social,meets
23,24,noun.person,Dorothy Parker
29,31,noun.group,Wall Street Journal
33,33,noun.person,McCafferty
34,35,verb.cognition,looks at
37,37,noun.feeling,travails
39,39,noun.attribute,humor
43,43,noun.cognition,heart
47,47,noun.group,People
52,52,noun.person,McCafferty
55,56,noun.communication,pop culture
57,57,noun.communication,riffs
62,62,noun.communication,series
64,64,verb.possession,won
67,67,noun.group,legion
69,69,noun.person,fans
72,72,noun.person,teens
74,75,noun.person,college students
77,77,noun.person,twentysomethings
79,79,noun.person,mothers
84,84,noun.person,grandmother
100,100,noun.communication,read
105,105,noun.attribute,ages
113,114,noun.group,Ottawa Sun
116,116,noun.person,McCafferty
118,119,noun.communication,debut novel
120,120,verb.stative,became
122,122,noun.act,crossover
123,123,noun.act,hit
126,126,verb.communication,touching
127,127,noun.person,teenagers
129,129,noun.person,adults
133,133,noun.time,youth
143,143,noun.cognition,take
144,144,verb.creation,on
145,145,noun.state,teendom
149,150,noun.group,Boston Herald
157,157,verb.emotion,delight
159,159,noun.person,readers
161,161,noun.person,Jessica
168,168,noun.state,problems
169,169,verb.stative,are
173,173,noun.person,McCafferty
174,174,verb.stative,is
178,178,verb.communication,channeling
187,187,noun.attribute,voice
193,193,verb.perception,see
202,202,verb.perception,looking
208,209,noun.location,Chicago Tribune
213,213,noun.state,life
219,219,verb.cognition,forget
221,221,verb.contact,putting
228,229,noun.group,Toronto Sun
236,236,noun.communication,wit
244,244,noun.communication,take
245,245,verb.creation,on
246,246,noun.cognition,life
249,249,verb.emotion,draws
250,250,noun.person,readers
252,252,noun.person,fans
255,255,noun.group,series
256,256,verb.stative,include
257,258,noun.person,adult women
262,262,noun.person,teens
265,265,noun.person,McCafferty
267,267,noun.communication,books
275,275,noun.attribute,good
277,277,noun.person,Jessica
278,278,verb.possession,offers
282,282,noun.communication,insights
285,285,noun.cognition,world
293,293,verb.stative,be
297,297,noun.person,woman
301,302,noun.group,Chicago Sun
308,308,noun.act,writing
312,312,noun.communication,wordplay
319,319,verb.cognition,relate
322,322,noun.cognition,plot
323,323,noun.act,turns
325,325,verb.stative,keep
327,327,noun.person,teens
330,330,noun.group,teens
336,336,verb.motion,turning
338,338,noun.communication,pages
342,343,noun.group,Publishers Weekly
353,353,verb.contact,snag
354,354,noun.quantity,more
359,359,noun.person,readers
367,367,noun.cognition,genre
374,374,noun.communication,literature
377,377,noun.cognition,life
380,380,noun.attribute,voices
384,384,noun.cognition,characters
389,390,noun.group,Harvard Crimson
394,394,noun.group,series
396,396,verb.emotion,appeal
403,403,noun.group,crowd
405,405,noun.person,women
407,407,verb.emotion,like
409,410,verb.perception,look back
412,412,verb.cognition,remember
416,417,noun.location,New York
418,419,noun.group,Daily News
425,425,verb.emotion,wish
426,427,noun.person,Megan McCafferty
430,430,verb.creation,writing
431,431,noun.communication,books
433,434,noun.group,high school
437,437,verb.stative,was
451,451,noun.attribute,age
454,454,verb.change,get
457,457,noun.act,kick
470,470,noun.attribute,color
471,471,noun.cognition,observations
478,479,noun.group,Miami Herald
488,488,noun.person,Jessica
489,489,verb.stative,is
494,494,noun.person,observer
500,500,noun.group,high
502,502,noun.group,school
503,503,noun.group,world
510,511,noun.person,MEGAN MCCAFFERTY
514,525,noun.group,Second Helpings Charmed Thirds Perfect Fifths Bumped Thumped The Mall FOURTH COMINGS
530,531,noun.person,MEGAN McCafferty
535,536,noun.location,NEW YORK
538,538,verb.stative,is
540,540,noun.artifact,work
542,542,noun.communication,fiction
547,547,noun.cognition,characters
549,549,noun.group,organizations
552,552,noun.event,events
553,553,verb.perception,portrayed
556,556,noun.communication,novel
557,557,verb.stative,are
559,559,noun.artifact,products
562,562,noun.person,author
564,564,noun.cognition,imagination
567,567,verb.consumption,used
570,570,verb.creation,Published
573,574,noun.location,United States
580,580,noun.communication,imprint
582,586,noun.group,St. Martin ’s Publishing Group
590,590,noun.communication,Copyright
598,598,noun.communication,copyright
609,609,verb.creation,Printed
612,615,noun.location,United States of America
618,618,noun.communication,information
620,621,noun.location,address St.
622,625,noun.group,Martin ’s Publishing Group
628,628,noun.location,Broadway
630,631,noun.location,New York
633,634,noun.location,NY 10271
636,637,noun.group,www.wednesdaybooks.com Designed
639,643,noun.group,Devan Norman Library of Congress
648,650,noun.group,Publication Data Names
654,654,noun.person,Megan
656,656,noun.person,author
658,658,noun.communication,Title
663,664,noun.person,Megan McCafferty
666,666,noun.communication,foreword
668,669,noun.person,Rebecca Serie
671,671,noun.communication,Description
676,676,noun.communication,edition
679,680,noun.location,New York
682,683,noun.group,Wednesday Books
686,686,noun.cognition,imprint
688,692,noun.group,St. Martin 's Publishing Group
694,694,noun.time,2021
697,697,noun.communication,Series
699,700,noun.person,Jessica Darling
706,706,verb.creation,published
711,712,noun.location,United States
714,716,noun.group,Three Rivers Press
719,719,noun.cognition,imprint
722,724,noun.group,Crown Publishing Group
727,727,noun.group,division
729,730,noun.group,Random House
734,735,noun.location,New York
739,739,noun.group,Audience
746,746,noun.communication,Identifiers
754,755,noun.artifact,trade paperback
761,761,noun.communication,ebook
765,765,noun.location,LCSH
773,773,noun.communication,fiction
777,777,noun.communication,proposals
780,780,noun.communication,fiction
785,785,noun.person,woman
786,786,noun.state,relationships
789,789,noun.communication,fiction
793,793,noun.Tops,relations
796,796,noun.communication,fiction
799,801,noun.group,Periodicals — Publishing
804,804,noun.communication,fiction
807,807,noun.location,Brooklyn
809,810,noun.location,New York
813,813,noun.communication,fiction
816,816,noun.group,CYAC
829,829,noun.group,Publishers
831,831,noun.act,publishing
836,836,noun.location,Brooklyn
838,839,noun.location,New York
841,841,noun.group,N.Y.)—Fiction
855,855,noun.communication,record
858,858,noun.communication,https://lccn.loc.gov/2021017545
860,860,noun.communication,books
863,863,verb.possession,purchased
872,873,noun.act,business use
876,876,verb.communication,contact
879,879,noun.person,bookseller
882,883,noun.person,Macmillan Corporate
897,897,noun.time,extension
902,902,noun.communication,email
907,907,verb.creation,published
912,913,noun.location,United States
915,917,noun.group,Three Rivers Press
920,920,noun.cognition,imprint
923,925,noun.group,Crown Publishing Group
928,928,noun.cognition,division
930,931,noun.group,Random House
935,939,noun.group,New York First Wednesday Books
940,940,noun.communication,Edition
953,954,noun.group,FOR CHRISTOPHER
965,965,verb.cognition,KNOW
975,976,noun.group,Sloppy Firsts
978,978,verb.creation,published
984,984,noun.time,month
989,990,noun.person,Jessica Darling
1002,1002,noun.person,girl
1004,1005,verb.motion,spun into
1007,1007,noun.group,world
1009,1009,noun.state,turmoil
1011,1011,noun.group,Schools
1013,1013,noun.location,country
1015,1015,verb.social,watched
1017,1017,noun.artifact,towers
1018,1018,verb.motion,fall
1020,1020,verb.cognition,understanding
1030,1030,noun.event,tragedy
1032,1032,noun.cognition,life
1034,1034,noun.location,country
1035,1035,verb.stative,were
1039,1039,noun.location,place
1042,1042,verb.body,felt
1046,1046,noun.location,America
1048,1048,noun.location,home
1050,1050,verb.change,changed
1058,1058,noun.time,years
1061,1061,noun.time,today
1063,1063,noun.person,teens
1064,1064,verb.communication,face
1067,1067,noun.state,crisis
1069,1069,noun.location,country
1071,1071,noun.act,Progress
1076,1076,verb.cognition,seen
1078,1078,verb.motion,bends
1081,1081,verb.motion,doubles
1084,1084,verb.motion,barrels
1087,1087,noun.person,Teens
1088,1089,verb.social,take up
1091,1091,noun.act,fight
1095,1095,noun.attribute,ways
1098,1098,verb.stative,are
1102,1102,noun.location,lines
1105,1105,noun.time,future
1106,1107,verb.stative,belongs to
1123,1124,verb.communication,talk about
1132,1132,verb.motion,came
1134,1135,noun.person,Ms. Darling
1137,1138,noun.time,sophomore year
1140,1140,noun.group,college
1143,1143,noun.quantity,thousands
1152,1152,noun.person,Jessica
1154,1154,noun.attribute,voice
1159,1159,noun.person,girl
1161,1161,verb.stative,was
1168,1169,noun.person,Judy Blume
1171,1172,noun.person,Megan McCafferty
1173,1173,verb.communication,draws
1176,1176,noun.person,woman
1178,1178,verb.stative,is
1183,1183,noun.attribute,sexuality
1186,1186,verb.stative,is
1189,1189,verb.emotion,intrigued
1192,1192,verb.emotion,annoyed
1195,1195,noun.group,culture
1197,1198,noun.group,high school
1201,1201,verb.emotion,wants
1203,1203,verb.stative,be
1209,1209,verb.cognition,understands
1211,1211,verb.perception,acknowledges
1215,1215,noun.state,existence
1218,1218,verb.stative,is
1225,1225,noun.person,girl
