COREF,start_token,end_token,prop,cat,text
168,6,7,PROP,PER,MEGAN McCafferty
1,10,11,PROP,GPE,NEW YORK
415,36,37,NOM,PER,the author
2,47,49,PROP,LOC,the United States
3,51,52,PROP,FAC,Wednesday Books
416,54,63,NOM,ORG,an imprint of St. Martin ’s Publishing Group perfect fifths
4,57,63,PROP,FAC,St. Martin ’s Publishing Group perfect fifths
168,69,70,PROP,PER,Megan McCafferty
170,77,78,PROP,FAC,Rebecca Serie
6,86,90,PROP,GPE,the United States of America
4,96,100,PROP,FAC,St. Martin ’s Publishing Group
8,103,103,PROP,GPE,Broadway
1,105,106,PROP,GPE,New York
9,108,108,PROP,GPE,NY
10,114,118,PROP,ORG,Devan Norman Library of Congress
168,127,127,PROP,PER,McCafferty
168,129,129,PROP,PER,Megan
417,131,131,NOM,PER,author
169,139,140,PROP,PER,Jessica Darling
168,143,144,PROP,PER,Megan McCafferty
170,158,159,PROP,PER,Rebecca Serie
1,162,163,PROP,GPE,New York
3,165,166,PROP,FAC,Wednesday Books
169,173,174,PROP,PER,Jessica Darling
2,181,183,PROP,LOC,the United States
11,187,189,PROP,FAC,Three Rivers Press
169,223,223,PROP,PER,Jessica
418,229,232,NOM,PER,Young women — Fiction
419,235,237,NOM,PER,Man - woman
12,260,260,PROP,GPE,Bildungsromans
420,282,282,PRON,PER,Our
421,300,300,PRON,PER,your
422,300,302,NOM,PER,your local bookseller
423,304,308,NOM,ORG,the Macmillan Corporate and Premium
2,331,333,PROP,GPE,the United States
11,337,339,PROP,ORG,Three Rivers Press
424,341,347,NOM,ORG,an imprint of the Crown Publishing Group
15,344,347,PROP,ORG,the Crown Publishing Group
425,349,355,NOM,ORG,"a division of Random House , Inc."
426,352,355,NOM,ORG,"Random House , Inc."
1,357,358,PROP,GPE,New York
169,403,404,PROP,PER,Jessica Darling
427,406,416,NOM,PER,"a precocious , sexually curious , fast - talking teenage girl"
428,426,427,NOM,GPE,the country
429,430,431,NOM,FAC,the towers
430,448,448,NOM,GPE,country
431,452,462,NOM,FAC,"A place that had felt so safe — America , home"
16,460,460,PROP,GPE,America
432,462,462,NOM,FAC,home
433,475,477,NOM,PER,today ’s teens
433,479,479,PRON,PER,their
430,483,483,NOM,GPE,country
435,488,488,PRON,PER,we
436,501,501,NOM,PER,Teens
436,511,511,PRON,PER,they
436,522,522,PRON,PER,them
437,525,525,PRON,PER,you
437,529,529,PRON,PER,you
169,539,539,PROP,PER,Jessica
435,542,542,PRON,PER,we
0,544,544,PRON,PER,I
171,548,549,PROP,PER,Ms. Darling
0,550,550,PRON,PER,my
0,559,559,PRON,PER,me
0,561,561,PRON,PER,I
169,566,566,PROP,PER,Jessica
438,570,573,NOM,PER,This overly average girl
435,580,580,PRON,PER,our
439,580,581,NOM,PER,our queen
172,582,583,PROP,PER,Judy Blume
168,585,586,PROP,PER,Megan McCafferty
440,588,590,NOM,PER,a young woman
440,595,595,PRON,PER,her
441,611,612,NOM,ORG,high school
440,626,626,PRON,PER,her
440,631,631,PRON,PER,She
442,636,639,NOM,PER,a high school girl
173,656,657,PROP,PER,Marcus Flutie
169,659,659,PROP,PER,Jessica
173,661,661,PROP,PER,Marcus
173,663,663,PROP,PER,Marcus
169,665,665,PROP,PER,Jessica
