start_token,end_token,supersense_category,text
6,7,noun.person,MEGAN McCafferty
8,8,noun.time,WEDNESDAY
10,11,noun.location,NEW YORK
13,13,verb.stative,is
15,15,noun.artifact,work
17,17,noun.communication,fiction
22,22,noun.cognition,characters
24,24,noun.group,organizations
27,27,noun.event,events
28,28,verb.perception,portrayed
31,31,noun.communication,novel
32,32,verb.stative,are
37,37,noun.person,author
39,39,noun.cognition,imagination
42,42,verb.consumption,used
48,49,noun.location,United States
51,52,noun.group,Wednesday Books
55,55,noun.cognition,imprint
57,58,noun.person,St. Martin
60,61,noun.group,Publishing Group
65,65,noun.communication,Copyright
69,70,noun.person,Megan McCafferty
73,73,noun.communication,copyright
77,78,noun.person,Rebecca Serie
87,88,noun.location,United States
90,90,noun.location,America
93,93,noun.communication,information
95,95,noun.communication,address
96,100,noun.group,St. Martin ’s Publishing Group
103,103,noun.location,Broadway
105,106,noun.location,New York
108,108,noun.location,NY
111,112,noun.group,www.wednesdaybooks.com Designed
114,119,noun.group,Devan Norman Library of Congress Cataloging
123,124,noun.group,Publication Data
127,127,noun.person,McCafferty
129,129,noun.person,Megan
131,131,noun.person,author
133,133,noun.communication,Title
139,140,noun.person,Jessica Darling
141,141,noun.communication,novel
143,144,noun.person,Megan McCafferty
146,146,noun.communication,Description
149,150,noun.group,Wednesday Books
151,151,noun.communication,edition
156,156,noun.communication,foreword
158,159,noun.person,Rebecca Serie
162,163,noun.location,New York
165,166,noun.location,Wednesday Books
171,171,noun.communication,Series
173,173,noun.person,Jessica
179,179,verb.creation,published
182,183,noun.location,United States
187,189,noun.group,Three Rivers Press
193,193,noun.group,Audience
195,195,noun.time,Ages
200,200,noun.communication,Identifiers
208,209,noun.communication,trade paperback
215,215,noun.communication,ebook
217,217,noun.communication,Subjects
227,227,noun.communication,fiction
230,230,noun.person,women
232,232,noun.communication,Fiction
235,235,noun.person,Man
237,237,noun.animal,woman
238,238,noun.Tops,relationships
240,240,noun.communication,Fiction
242,242,noun.person,Bildungsromans
249,249,noun.communication,Fiction
254,254,noun.attribute,age
256,256,noun.communication,Fiction
260,260,noun.person,Bildungsromans
263,263,noun.communication,Romance
264,264,noun.communication,fiction
276,277,noun.group,Fic]-dc23 LC
278,278,noun.communication,record
283,283,noun.artifact,books
286,286,verb.possession,purchased
296,296,noun.act,use
299,299,verb.communication,contact
302,302,noun.person,bookseller
305,306,noun.group,Macmillan Corporate
319,319,noun.time,extension
324,324,noun.communication,email
329,329,verb.communication,published
332,333,noun.location,United States
337,339,noun.group,Three Rivers Press
342,342,noun.cognition,imprint
345,347,noun.group,Crown Publishing Group
350,350,noun.cognition,division
352,355,noun.group,"Random House , Inc."
357,358,noun.location,New York
359,361,noun.group,First Wednesday Books
378,379,noun.group,READERS WHO
388,390,noun.group,NEXT Sloppy Firsts
392,392,verb.communication,published
398,398,noun.time,month
403,404,noun.person,Jessica Darling
416,416,noun.person,girl
418,418,verb.motion,spun
421,421,noun.cognition,world
423,423,noun.state,turmoil
425,425,noun.location,Schools
427,427,noun.location,country
429,429,verb.social,watched
431,431,noun.artifact,towers
432,432,verb.motion,fall
434,434,verb.cognition,understanding
444,444,noun.event,tragedy
446,446,noun.state,life
448,448,noun.location,country
449,449,verb.stative,were
453,453,noun.location,place
456,456,verb.emotion,felt
460,460,noun.location,America
462,462,noun.location,home
464,464,verb.change,changed
472,472,noun.time,years
475,475,noun.time,today
477,477,noun.person,teens
478,478,verb.competition,face
481,481,noun.state,crisis
483,483,noun.location,country
485,485,noun.location,Progress
490,490,verb.cognition,seen
492,492,verb.motion,bends
495,495,verb.motion,doubles
498,498,verb.motion,barrels
501,501,noun.person,Teens
502,503,verb.social,take up
505,505,noun.act,fight
512,512,verb.stative,are
516,516,noun.location,lines
