COREF,start_token,end_token,prop,cat,text
220,6,7,PROP,PER,MEGAN McCafferty
1,11,12,PROP,GPE,NEW YORK
615,37,38,NOM,PER,the author
2,48,50,PROP,LOC,the United States
616,55,62,NOM,ORG,an imprint of St. Martin ’s Publishing Group
3,58,62,PROP,FAC,St. Martin ’s Publishing Group
220,70,71,PROP,PER,Megan McCafferty
4,87,91,PROP,GPE,the United States of America
3,97,101,PROP,FAC,St. Martin ’s Publishing Group
221,98,98,PROP,PER,Martin
5,104,104,PROP,GPE,Broadway
1,106,107,PROP,GPE,New York
6,115,119,PROP,ORG,Devan Norman Library of Congress
220,128,128,PROP,PER,McCafferty
220,130,130,PROP,PER,Megan
617,132,132,NOM,PER,author
220,144,145,PROP,PER,Megan McCafferty
1,155,156,PROP,GPE,New York
222,166,167,PROP,PER,Jessica Darling
222,191,191,PROP,PER,Darling
222,193,193,PROP,PER,Jessica
618,195,196,NOM,PER,Fictitious character
619,199,201,NOM,PER,High school students
7,203,204,PROP,GPE,New Jersey
620,209,210,NOM,PER,Teenage girls
8,213,213,PROP,GPE,Jersey
621,236,236,PRON,PER,Our
622,254,254,PRON,PER,your
623,254,256,NOM,PER,your local bookseller
624,258,264,NOM,ORG,the Macmillan Corporate and Premium Sales Department
625,286,288,NOM,GPE,the United States
9,292,294,PROP,ORG,Three Rivers Press
626,296,302,NOM,ORG,an imprint of the Crown Publishing Group
627,299,302,NOM,ORG,the Crown Publishing Group
628,304,310,NOM,ORG,"a division of Random House , Inc."
629,307,310,NOM,ORG,"Random House , Inc."
1,312,313,PROP,GPE,New York
0,332,332,PRON,PER,MY
222,348,349,PROP,PER,Jessica Darling
630,351,361,NOM,PER,"a precocious , sexually curious , fast - talking teenage girl"
631,371,372,NOM,GPE,the country
632,393,393,NOM,GPE,country
633,397,403,NOM,GPE,A place that had felt so safe
10,405,405,PROP,GPE,America
634,407,407,NOM,FAC,home
635,422,422,NOM,PER,teens
635,424,424,PRON,PER,their
632,428,428,NOM,GPE,country
637,433,433,PRON,PER,we
635,446,446,NOM,PER,Teens
635,456,456,PRON,PER,they
635,467,467,PRON,PER,them
639,470,470,PRON,PER,you
639,474,474,PRON,PER,you
222,484,484,PROP,PER,Jessica
637,487,487,PRON,PER,we
0,489,489,PRON,PER,I
223,493,494,PROP,PER,Ms. Darling
0,495,495,PRON,PER,my
0,504,504,PRON,PER,me
0,506,506,PRON,PER,I
222,511,511,PROP,PER,Jessica
640,515,584,NOM,PER,"This overly average girl who was anything but . Like our queen Judy Blume , Megan McCafferty draws a young woman who is unafraid of her own sexuality . Who is curious , intrigued , and annoyed by the culture of high school . Who wants to be extraordinary , but who also understands and acknowledges her own singular existence . She is no more than a high school girl"
637,525,525,PRON,PER,our
641,525,526,NOM,PER,our queen
224,527,528,PROP,PER,Judy Blume
220,530,531,PROP,PER,Megan McCafferty
642,533,542,NOM,PER,a young woman who is unafraid of her own sexuality
642,540,540,PRON,PER,her
643,556,557,NOM,ORG,high school
642,571,571,PRON,PER,her
642,576,576,PRON,PER,She
644,581,584,NOM,PER,a high school girl
225,601,602,PROP,PER,Marcus Flutie
222,604,604,PROP,PER,Jessica
225,606,606,PROP,PER,Marcus
225,608,608,PROP,PER,Marcus
222,610,610,PROP,PER,Jessica
645,612,619,NOM,PER,The most perfect teenage boyfriend of all time
646,622,624,NOM,PER,the biggest fuckup
0,626,626,PRON,PER,I
0,629,629,PRON,PER,I
647,637,644,NOM,PER,The stoner kid who needs Jessica ’s pee
222,642,642,PROP,PER,Jessica
222,654,654,PRON,PER,her
648,654,660,NOM,PER,her greatest teacher and her greatest love
222,658,658,PRON,PER,her
649,667,667,PRON,PER,we
649,686,686,PRON,PER,we
649,697,697,PRON,PER,We
222,704,704,PROP,PER,Jessica
225,724,724,PROP,PER,Marcus
222,726,726,PROP,PER,Jessica
650,740,740,PRON,PER,they
650,749,749,PRON,PER,they
650,759,759,PRON,PER,they
222,769,770,PROP,PER,Jessica Darling
651,775,775,NOM,PER,adults
649,779,779,PRON,PER,us
649,790,790,PRON,PER,We
11,815,816,PROP,FAC,Charmed Thirds
649,825,825,PRON,PER,we
222,828,829,PROP,PER,Jessica Darling
649,837,837,PRON,PER,We
652,839,840,NOM,LOC,the world
222,843,843,PRON,PER,her
222,845,845,PRON,PER,She
1,848,849,PROP,GPE,New York
653,851,857,NOM,GPE,a city on the brink of rehabilitation
222,859,859,PRON,PER,She
222,870,870,PRON,PER,She
222,876,876,PRON,PER,Her
654,876,877,NOM,LOC,Her world
222,896,897,PROP,PER,Jessica Darling
655,919,919,PRON,PER,you
656,922,923,NOM,PER,a character
657,940,941,NOM,PER,the reader
652,948,949,NOM,LOC,the world
649,951,951,PRON,PER,we
649,956,956,PRON,PER,ourselves
649,959,959,PRON,PER,we
222,961,961,PROP,PER,Jessica
222,963,963,PRON,PER,she
659,965,972,NOM,PER,a teenage girl uncomfortable in her own skin
222,970,970,PRON,PER,her
649,975,975,PRON,PER,we
222,977,977,PRON,PER,her
222,979,979,PRON,PER,she
660,981,988,NOM,PER,a young woman on the cusp of adulthood
222,997,997,PROP,PER,Jessica
222,1004,1004,PRON,PER,She
649,1015,1015,PRON,PER,we
222,1017,1017,PRON,PER,her
661,1037,1038,NOM,LOC,the universe
655,1086,1086,PRON,PER,your
222,1092,1093,PROP,PER,Jessica Darling
222,1099,1099,PRON,PER,her
222,1103,1103,PRON,PER,she
662,1106,1108,NOM,PER,a timeless figure
663,1110,1111,NOM,PER,A feminist
664,1113,1114,NOM,PER,a leader
665,1116,1117,NOM,PER,a daughter
666,1119,1121,NOM,PER,a best friend
0,1123,1123,PRON,PER,I
649,1132,1132,PRON,PER,we
0,1145,1145,PRON,PER,I
222,1151,1151,PROP,PER,Jessica
220,1159,1159,PROP,PER,Megan
222,1167,1167,PRON,PER,you
222,1169,1169,PROP,PER,Jessica
667,1174,1175,NOM,PER,a friend
226,1187,1187,PROP,PER,Rebecca
655,1200,1200,PRON,PER,you
0,1204,1204,PRON,PER,I
0,1220,1220,PRON,PER,I
0,1246,1246,PRON,PER,I
668,1259,1260,NOM,FAC,the boardwalk
0,1262,1262,PRON,PER,I
669,1269,1270,NOM,PER,a fraud
0,1272,1272,PRON,PER,I
0,1306,1306,PRON,PER,My
0,1311,1311,PRON,PER,I
0,1318,1318,PRON,PER,myself
0,1323,1323,PRON,PER,my
12,1327,1328,PROP,FAC,Pineville High
670,1332,1332,NOM,PER,everyone
0,1342,1342,PRON,PER,I
655,1346,1346,PRON,PER,You
0,1348,1348,PRON,PER,I
671,1353,1356,NOM,FAC,this strip mall wasteland
655,1360,1360,PRON,PER,you
0,1365,1365,PRON,PER,me
8,1367,1367,PROP,GPE,Jersey
13,1372,1372,PROP,GPE,Europe
655,1378,1378,PRON,PER,you
0,1381,1381,PRON,PER,my
672,1381,1383,NOM,PER,my best friend
0,1386,1386,PRON,PER,I
655,1390,1390,PRON,PER,you
0,1394,1394,PRON,PER,I
655,1397,1397,PRON,PER,you
655,1401,1401,PRON,PER,your
0,1416,1416,PRON,PER,I
673,1418,1418,PRON,PER,our
655,1433,1433,PRON,PER,you
14,1437,1437,PROP,GPE,Tennessee
655,1469,1469,PRON,PER,you
0,1475,1475,PRON,PER,me
655,1503,1503,PRON,PER,yours
0,1506,1506,PRON,PER,i
0,1510,1510,PRON,PER,I
674,1535,1536,NOM,FAC,the house
0,1541,1541,PRON,PER,I
0,1549,1549,PRON,PER,my
0,1563,1563,PRON,PER,I
0,1572,1572,PRON,PER,my
0,1577,1577,PRON,PER,my
0,1582,1582,PRON,PER,I
0,1594,1594,PRON,PER,I
227,1603,1603,PROP,PER,Hope
0,1611,1611,PRON,PER,I
0,1630,1630,PRON,PER,I
0,1636,1636,PRON,PER,I
0,1646,1646,PRON,PER,I
0,1672,1672,PRON,PER,My
0,1689,1689,PRON,PER,I
0,1692,1692,PRON,PER,my
675,1700,1701,NOM,PER,the mob
0,1703,1703,PRON,PER,I
676,1705,1707,NOM,PER,the sole observer
0,1712,1712,PRON,PER,I
0,1718,1718,PRON,PER,my
677,1718,1719,NOM,PER,my dad
0,1731,1731,PRON,PER,I
0,1743,1743,PRON,PER,my
678,1743,1744,NOM,PER,my mom
0,1748,1748,PRON,PER,me
678,1750,1750,PRON,PER,she
0,1756,1756,PRON,PER,my
679,1765,1765,PRON,PER,us
0,1769,1769,PRON,PER,I
220,1782,1783,PROP,PER,mecan McCafferty
0,1784,1784,PRON,PER,I
0,1794,1794,PRON,PER,I
0,1799,1799,PRON,PER,my
672,1799,1801,NOM,PER,my best friend
0,1803,1803,PRON,PER,I
0,1815,1815,PRON,PER,I
227,1817,1817,PROP,PER,Hope
0,1824,1824,PRON,PER,I
227,1827,1827,PRON,PER,her
227,1829,1829,PRON,PER,she
14,1832,1832,PROP,GPE,Tennessee
0,1834,1834,PRON,PER,My
0,1840,1840,PRON,PER,my
681,1844,1848,NOM,PER,an anonymous person on paper
227,1852,1852,PRON,PER,her
0,1864,1864,PRON,PER,me
682,1866,1866,PRON,PER,He
0,1875,1875,PRON,PER,me
682,1881,1881,PRON,PER,he
0,1883,1883,PRON,PER,I
227,1888,1888,PROP,PER,Hope
227,1895,1895,PRON,PER,she
