start_token,end_token,supersense_category,text
6,7,noun.person,MEGAN McCafferty
11,12,noun.location,NEW YORK
14,14,verb.stative,is
16,16,noun.artifact,work
18,18,noun.communication,fiction
23,23,noun.person,characters
25,25,noun.group,organizations
28,28,noun.event,events
29,29,verb.perception,portrayed
32,32,noun.communication,novel
33,33,verb.stative,are
38,38,noun.person,author
40,40,noun.cognition,imagination
43,43,verb.consumption,used
49,50,noun.location,United States
52,53,noun.group,Wednesday Books
56,56,noun.cognition,imprint
58,59,noun.person,St. Martin
61,62,noun.group,Publishing Group
66,66,noun.communication,Copyright
70,71,noun.person,Megan McCafferty
74,74,noun.communication,copyright
78,79,noun.person,Rebecca Serie
88,89,noun.location,United States
91,91,noun.location,America
94,94,noun.communication,information
96,97,noun.location,address St.
98,101,noun.group,Martin ’s Publishing Group
104,104,noun.location,Broadway
106,107,noun.location,New York
109,109,noun.location,NY
112,113,noun.group,www.wednesdaybooks.com Designed
115,120,noun.group,Devan Norman Library of Congress Cataloging
124,126,noun.group,Publication Data Names
128,128,noun.person,McCafferty
130,130,noun.person,Megan
132,132,noun.person,author
134,134,noun.communication,Title
140,141,noun.person,Jessica Darling
142,142,noun.communication,novel
144,145,noun.person,Megan McCafferty
147,147,noun.communication,Description
149,151,noun.group,First Wednesday Books
152,152,noun.communication,edition
155,156,noun.location,New York
158,159,noun.group,Wednesday Books
164,164,noun.communication,Series
166,167,noun.person,Jessica Darling
170,170,noun.communication,Identifiers
178,179,noun.communication,trade paperback
185,185,noun.communication,ebook
189,189,noun.person,LCSH
191,191,noun.person,Darling
193,193,noun.person,Jessica
196,196,noun.person,character
199,200,noun.group,High school
201,201,noun.person,students
203,204,noun.location,New Jersey
210,210,noun.person,girls
212,213,noun.location,New Jersey
222,223,noun.group,LCC PS3613.C34
232,232,noun.communication,record
237,237,noun.communication,books
240,240,verb.possession,purchased
250,250,noun.act,use
253,253,verb.communication,contact
256,256,noun.person,bookseller
259,260,noun.group,Macmillan Corporate
262,264,noun.group,Premium Sales Department
274,274,noun.time,extension
279,279,noun.communication,email
284,284,verb.communication,published
287,288,noun.location,United States
292,294,noun.group,Three Rivers Press
297,297,noun.cognition,imprint
300,302,noun.group,Crown Publishing Group
305,305,noun.cognition,division
307,310,noun.group,"Random House , Inc."
312,313,noun.location,New York
315,317,noun.group,First Wednesday Books
318,318,noun.communication,Edition
320,320,noun.communication,2021
333,335,noun.group,PAREHTS Sloppy Firsts
337,337,verb.communication,published
343,343,noun.time,month
348,349,noun.person,Jessica Darling
361,361,noun.person,girl
363,363,verb.motion,spun
366,366,noun.group,world
368,368,noun.state,turmoil
370,370,noun.group,Schools
372,372,noun.location,country
374,374,verb.social,watched
376,376,noun.communication,towers
377,377,verb.motion,fall
379,379,verb.cognition,understanding
389,389,noun.event,tragedy
391,391,noun.cognition,life
393,393,noun.location,country
394,394,verb.stative,were
398,398,noun.location,place
401,401,verb.body,felt
405,405,noun.location,America
407,407,noun.location,home
409,409,verb.change,changed
