COREF,start_token,end_token,prop,cat,text
185,8,9,PROP,PER,ANDREW SMITH
1,13,14,PROP,LOC,the USA
2,24,36,PROP,FAC,"Simon & Schuster Children ’s Publishing Division , 1230 Avenue of the Americas"
3,35,36,PROP,LOC,the Americas
4,38,39,PROP,GPE,New York
4,41,42,PROP,GPE,New York
5,47,48,PROP,GPE,Great Britain
6,59,64,PROP,FAC,Egmont UK Limited The Yellow Building
7,67,68,PROP,FAC,Nicholas Road
8,70,70,PROP,GPE,London
185,80,81,PROP,PER,Andrew Smith
361,93,94,NOM,PER,the author
5,122,123,PROP,GPE,Great Britain
9,125,126,PROP,ORG,CPI Group
10,135,135,PROP,GPE,Avon
362,183,184,NOM,PER,the publisher
363,186,187,NOM,PER,copyright owner
11,212,212,PROP,GPE,Egmont
364,220,221,NOM,PER,third parties
365,243,243,NOM,PER,children
366,245,245,PRON,PER,We
367,248,249,NOM,PER,all children
368,262,268,NOM,FAC,responsible sources FSC * C020471 For Trevin
12,270,270,PROP,GPE,Chiara
0,276,276,PRON,PER,I
369,284,284,PRON,PER,you
13,293,294,PROP,LOC,the World
14,302,303,PROP,LOC,the Titanic
186,305,305,PROP,PER,Ingrid
369,310,310,PRON,PER,You
15,313,314,PROP,LOC,the Sky
187,316,316,PROP,PER,Adam
188,318,318,PROP,PER,Eve
16,323,324,PROP,FAC,Movie Theater
369,334,334,PRON,PER,You
189,336,336,PROP,PER,Poultry
366,343,343,PRON,PER,We
17,347,348,PROP,LOC,the Road
190,356,356,PROP,PER,Fish
370,358,359,NOM,LOC,the Sea
366,374,374,PRON,PER,We
191,389,389,PROP,PER,Bigfoot
371,394,398,NOM,PER,The Question Superheroes Never Ask
18,403,403,PROP,GPE,Jupiter
372,405,409,NOM,PER,The Exact Opposite of Stuck
19,412,417,PROP,LOC,the Middle of a Disappearing Road
85,419,420,PROP,FAC,A Walmart
373,422,425,NOM,GPE,a Place of Spirits
374,427,435,NOM,PER,"Leaving Miss Sour Eye , Entering Are Can Sass"
21,437,438,PROP,ORG,The Library
375,450,456,NOM,PER,an After - the - Hole Cicada
376,458,463,NOM,GPE,An Unfortunate Choice Outside Rebel Land
22,468,469,PROP,FAC,Cicada School
0,479,479,PRON,PER,I
23,489,490,PROP,FAC,Hampton Roads
0,496,496,PRON,PER,I
192,514,514,PROP,PER,Edsel
193,516,516,PROP,PER,Mimi
377,537,542,NOM,GPE,The Church of the Screaming Stag
378,561,561,PRON,PER,Your
379,568,573,NOM,PER,The Prisoners of Camp Sumter •
380,574,581,NOM,PER,"The Clockwork , Mechanized Routine of a Haircut"
381,583,585,NOM,PER,The Three Sisters
24,590,591,PROP,LOC,the Forest
194,595,596,PROP,PER,Not Drowning
195,598,599,PROP,PER,Father Jude
196,601,603,PROP,PER,the Sister Ladies
197,605,605,PROP,PER,Joe
382,608,612,NOM,FAC,the Attic in the Church
383,611,612,NOM,FAC,the Church
144,618,620,PROP,LOC,the Dixieland Bayous
0,622,622,PRON,PER,I
384,627,639,NOM,PER,a Human • Names on a Wall • Self - Portrait with Champagne
385,645,648,NOM,PER,A Smokers Best Friend
188,654,656,PROP,PER,Adam and Eve
378,662,662,PRON,PER,You
386,665,672,NOM,PER,The Black Car with the Shiny Treasure Chest
387,674,676,NOM,PER,The African Queen
388,678,694,NOM,PER,The Emperor of Bullshit • Part Three : After the Hole Self - Portrait with Shoreless Man
198,697,698,PROP,PER,Little Grace
0,705,705,PRON,PER,I
199,714,714,PROP,PER,Eggs
389,716,717,NOM,PER,The Boy
390,719,720,NOM,VEH,a Boat
0,725,725,PRON,PER,My
391,735,736,NOM,PER,a Librarian
26,743,744,PROP,VEH,the Ship
27,751,752,PROP,LOC,the Dark
190,765,766,PROP,LOC,the Fish
0,770,770,PRON,PER,Me
29,772,774,PROP,FAC,Dobey ’s Corners
392,779,782,NOM,PER,a Real Basketball Team
0,784,784,PRON,PER,I
393,786,787,NOM,PER,Shoreless Man
13,797,798,PROP,LOC,the World
2916,800,801,NOM,PER,The jury
0,808,808,PRON,PER,I
394,816,818,NOM,PER,the wild boy
395,829,832,NOM,LOC,the world outside us
396,832,832,PRON,PER,us
396,839,839,PRON,PER,us
200,842,843,PROP,PER,Max Beckmann
397,865,866,NOM,PER,the listener
0,883,883,PRON,PER,I
398,887,888,NOM,PER,a unit
0,891,891,PRON,PER,I
0,915,915,PRON,PER,me
399,926,945,NOM,PER,"someone who ’d never been a firsthand witness to anything at all , to be honest , in his life"
400,931,937,NOM,PER,a firsthand witness to anything at all
399,944,944,PRON,PER,his
0,960,960,PRON,PER,I
0,962,962,PRON,PER,my
401,962,965,NOM,PER,my father ’s son
200,972,972,PRON,PER,he
0,974,974,PRON,PER,me
0,981,981,PRON,PER,my
402,981,982,NOM,PER,my father
0,984,984,PRON,PER,I
200,1004,1004,PRON,PER,he
403,1006,1006,NOM,FAC,home
0,1012,1012,PRON,PER,me
0,1039,1039,PRON,PER,I
0,1045,1045,PRON,PER,I
0,1049,1049,PRON,PER,my
404,1049,1051,NOM,PER,my visible man
0,1057,1057,PRON,PER,My
405,1057,1058,NOM,PER,My grandmother
201,1063,1063,PROP,PER,Wendy
0,1070,1070,PRON,PER,I
0,1076,1076,PRON,PER,my
404,1076,1078,NOM,PER,my visible man
201,1083,1083,PROP,PER,Wendy
210,1093,1093,PROP,GPE,EDEN
201,1096,1096,PRON,PER,She
0,1103,1103,PRON,PER,you
410,1110,1110,PRON,PER,You
410,1116,1116,PRON,PER,you
0,1123,1123,PRON,PER,my
0,1126,1126,PRON,PER,I
407,1136,1149,NOM,PER,the visible man that had been printed on the cover of the box Breakfast
407,1156,1156,PRON,PER,He
408,1161,1162,NOM,PER,a man
407,1168,1168,PRON,PER,He
409,1176,1176,NOM,PER,anyone
410,1182,1182,PRON,PER,you
0,1190,1190,PRON,PER,My
402,1190,1191,NOM,PER,My father
0,1193,1193,PRON,PER,me
201,1206,1206,PROP,PER,Wendy
0,1210,1210,PRON,PER,I
202,1213,1213,PROP,PER,Breakfast
407,1219,1219,PRON,PER,his
407,1229,1229,PRON,PER,his
412,1235,1239,NOM,PER,anyone — instructions or not
0,1249,1249,PRON,PER,I
202,1258,1258,PROP,PER,Breakfast
202,1263,1263,PRON,PER,his
202,1266,1266,PRON,PER,his
202,1279,1279,PROP,PER,Breakfast
202,1285,1285,PRON,PER,he
0,1287,1287,PRON,PER,mine
202,1291,1291,PRON,PER,he
201,1293,1293,PROP,PER,Wendy
0,1295,1295,PRON,PER,my
405,1295,1296,NOM,PER,my grandmother
0,1310,1310,PRON,PER,I
0,1315,1315,PRON,PER,I
0,1318,1318,PRON,PER,my
414,1318,1325,NOM,FAC,my modestly edited visible man science assembly project
202,1327,1327,PROP,PER,Breakfast
415,1329,1331,NOM,PER,a real person
202,1334,1334,PRON,PER,he
0,1344,1344,PRON,PER,I
0,1353,1353,PRON,PER,I
416,1356,1360,NOM,PER,the real person named Breakfast
0,1362,1362,PRON,PER,I
417,1371,1372,NOM,PER,anyone else
418,1375,1377,NOM,PER,a young person
419,1379,1380,NOM,PER,a boy
420,1382,1384,NOM,PER,someone like me
0,1384,1384,PRON,PER,me
0,1389,1389,PRON,PER,my
402,1389,1390,NOM,PER,my father
0,1392,1392,PRON,PER,I
422,1394,1396,NOM,PER,the real Breakfast
0,1399,1399,PRON,PER,I
423,1403,1409,NOM,PER,another human being — visible or otherwise
424,1412,1421,NOM,PER,the people I ’d lived with for my entire life
0,1414,1414,PRON,PER,I
0,1419,1419,PRON,PER,my
202,1425,1426,PROP,PER,ANDREW SMITH
0,1435,1435,PRON,PER,my
425,1439,1439,NOM,PER,people
425,1443,1443,PRON,PER,themselves
426,1487,1490,NOM,PER,the people around them
425,1490,1490,PRON,PER,them
0,1503,1503,PRON,PER,my
402,1503,1504,NOM,PER,my father
403,1507,1507,NOM,FAC,home
0,1509,1509,PRON,PER,me
402,1521,1521,PRON,PER,he
429,1530,1535,NOM,PER,this boy who was named Breakfast
202,1535,1535,PROP,PER,Breakfast
195,1537,1537,PROP,PER,Father
430,1541,1541,PRON,PER,our
0,1548,1548,PRON,PER,me
195,1550,1550,PROP,PER,Father
431,1554,1555,NOM,PER,this person
202,1565,1565,PROP,PER,Breakfast
430,1574,1574,PRON,PER,our
389,1577,1578,NOM,PER,the boy
0,1590,1590,PRON,PER,my
402,1590,1591,NOM,PER,my father
0,1596,1596,PRON,PER,me
0,1618,1618,PRON,PER,I
202,1620,1620,PROP,PER,Breakfast
0,1627,1627,PRON,PER,my
402,1627,1628,NOM,PER,my father
0,1630,1630,PRON,PER,I
430,1637,1637,PRON,PER,We
0,1645,1645,PRON,PER,I
430,1650,1650,PRON,PER,our
435,1650,1651,NOM,FAC,our hole
0,1654,1654,PRON,PER,I
436,1676,1677,NOM,LOC,the hole
437,1686,1687,NOM,PER,the others
430,1690,1690,PRON,PER,our
435,1690,1691,NOM,FAC,our hole
437,1693,1693,PRON,PER,they
0,1696,1696,PRON,PER,I
430,1709,1709,PRON,PER,we
0,1718,1718,PRON,PER,my
402,1718,1719,NOM,PER,my father
0,1723,1723,PRON,PER,me
203,1725,1725,PROP,PER,Lucky
210,1729,1729,PROP,GPE,EDEN
204,1732,1732,PROP,PER,Robby
0,1734,1734,PRON,PER,my
440,1734,1736,NOM,PER,my other dad
0,1739,1739,PRON,PER,me
205,1740,1740,PROP,PER,Arek
0,1744,1744,PRON,PER,my
0,1757,1757,PRON,PER,I
430,1761,1761,PRON,PER,our
441,1761,1768,NOM,FAC,our hole in the snow - covered ground
442,1764,1768,NOM,LOC,the snow - covered ground
0,1770,1770,PRON,PER,I
0,1782,1782,PRON,PER,I
430,1789,1789,PRON,PER,our
443,1789,1790,NOM,FAC,our library
0,1795,1795,PRON,PER,me
444,1797,1797,NOM,PER,cicadas
444,1809,1809,PRON,PER,they
444,1813,1813,PRON,PER,they
444,1827,1827,PRON,PER,their
444,1839,1839,PRON,PER,them
0,1851,1851,PRON,PER,my
185,1854,1854,PROP,PER,Mel
0,1856,1856,PRON,PER,I
445,1868,1868,PRON,PER,you
0,1871,1871,PRON,PER,I
185,1875,1875,PROP,PER,Mel
185,1877,1877,PRON,PER,She
446,1879,1891,NOM,PER,the only other person I know who ’s basically been a human cicada
0,1883,1883,PRON,PER,I
447,1889,1891,NOM,PER,a human cicada
185,1893,1893,PROP,PER,Mel
0,1895,1895,PRON,PER,I
436,1899,1900,NOM,LOC,the hole
0,1902,1902,PRON,PER,I
185,1910,1910,PRON,PER,her
0,1922,1922,PRON,PER,my
0,1931,1931,PRON,PER,me
0,1942,1942,PRON,PER,I
185,1946,1946,PRON,PER,her
0,1952,1952,PRON,PER,I
185,1957,1957,PROP,PER,Mel
0,1968,1968,PRON,PER,I
0,1970,1970,PRON,PER,my
402,1970,1971,NOM,PER,my father
185,1975,1975,PROP,PER,Mel
0,1977,1977,PRON,PER,me
0,1982,1982,PRON,PER,I
185,1988,1988,PRON,PER,her
450,1997,1997,PRON,PER,we
451,2007,2007,NOM,PER,boys
451,2009,2009,PRON,PER,they
0,2016,2016,PRON,PER,my
402,2016,2017,NOM,PER,my father
0,2028,2028,PRON,PER,I
402,2040,2040,PRON,PER,he
0,2043,2043,PRON,PER,me
31,2046,2047,PROP,LOC,THE HOLE
0,2064,2064,PRON,PER,me
