start_token,end_token,supersense_category,text
7,8,noun.location,HOLE ANDREW
11,11,verb.creation,published
14,14,noun.location,USA
16,19,noun.group,Simon & Schuster BFYR
24,24,noun.person,Simon
33,36,noun.location,Avenue of the Americas
38,39,noun.location,New York
41,42,noun.location,New York
45,45,verb.creation,published
47,48,noun.location,Great Britain
57,57,noun.cognition,imprint
63,64,noun.location,Yellow Building
67,68,noun.location,Nicholas Road
70,71,noun.location,London W11
73,73,noun.communication,Text
77,77,noun.communication,copyright
80,81,noun.person,Andrew Smith
83,83,noun.communication,illustration
84,84,noun.communication,copyright
87,88,noun.person,Brendan Heffernan
91,91,noun.attribute,rights
94,94,noun.person,author
97,97,verb.communication,asserted
106,106,noun.communication,catalogue
107,107,noun.communication,record
110,110,noun.communication,title
111,111,verb.stative,is
118,118,verb.cognition,Printed
122,123,noun.location,Great Britain
125,126,noun.group,CPI Group
127,127,noun.communication,Typeset
129,130,noun.group,Avon DataSet
139,139,noun.communication,rights
143,143,noun.relation,part
146,146,noun.communication,publication
149,149,verb.contact,reproduced
151,151,verb.contact,stored
154,155,noun.artifact,retrieval system
158,158,verb.contact,transmitted
162,162,noun.communication,form
172,172,noun.communication,photocopying
174,174,verb.communication,recording
181,181,noun.communication,permission
184,184,noun.person,publisher
186,187,noun.person,copyright owner
194,194,noun.communication,website
195,195,noun.communication,addresses
196,196,verb.communication,listed
199,199,noun.communication,book
200,200,verb.stative,are
204,204,noun.event,time
206,207,verb.motion,going to
208,208,noun.act,print
212,212,noun.group,Egmont
217,217,noun.communication,content
218,218,verb.contact,hosted
221,221,noun.group,parties
228,228,noun.communication,content
233,233,noun.relation,change
235,235,noun.communication,websites
237,237,verb.stative,contain
238,238,noun.communication,content
240,240,verb.stative,is
243,243,noun.person,children
246,246,verb.communication,advise
249,249,noun.person,children
251,251,verb.social,supervised
253,253,verb.consumption,using
255,255,noun.artifact,internet
257,258,noun.group,J3 FSC
259,260,noun.substance,MIX Paper
263,264,noun.group,sources FSC
274,274,noun.artifact,surface
278,279,verb.motion,dragged down
280,280,noun.quantity,bits
282,282,noun.object,pieces
296,297,noun.location,Breakfast Papers
300,300,noun.event,Sinking
354,354,noun.communication,Chapter
368,368,verb.possession,Give
392,392,noun.time,Night
403,403,noun.location,Jupiter
413,413,noun.location,Middle
423,423,noun.location,Place
425,425,noun.person,Spirits
438,439,noun.group,Library for
442,442,noun.communication,Clothes
460,463,noun.group,Choice Outside Rebel Land
468,469,noun.group,Cicada School
473,473,noun.communication,Dance
476,476,noun.time,Year
489,490,noun.location,Hampton Roads
516,516,noun.person,Mimi
555,556,noun.substance,Be Snakes
581,581,noun.person,Haircut
591,591,noun.object,Forest
593,593,noun.body,Swimming
598,599,noun.person,Father Jude
614,614,noun.act,Hunting
616,616,noun.food,Food
619,620,noun.location,Dixieland Bayous
639,639,noun.substance,Champagne
661,661,verb.creation,Make
670,671,noun.substance,Shiny Treasure
688,689,noun.location,Hole Self
